"";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"31";"#<U+528D><U+9053><U+8AB2>
#KENDO 
#<U+9ED8><U+60F3> https://t.co/ZWig5oth76";FALSE;0;NA;2017-11-09 02:27:15;FALSE;NA;"928448873047175168";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"bzguess";0;FALSE;FALSE;NA;NA
"32";"#<U+528D><U+9053><U+8AB2>
#KENDO 
#<U+8ABF><U+6574><U+5F8C>
#<U+67E5><U+7406><U+80E1> @ <U+6C38><U+5B89><U+793E><U+5340><U+528D><U+9053><U+6559><U+5BA4> https://t.co/PplkvX2w7v";FALSE;0;NA;2017-11-09 02:26:11;FALSE;NA;"928448605379223552";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"bzguess";0;FALSE;FALSE;"121.30334";"25.00105"
"33";"#KENDO 
#<U+528D><U+9053><U+8AB2>
#<U+9032><U+6B65>ing 
#<U+5E7C><U+7A1A><U+5712><U+5927><U+73ED> @ <U+6C38><U+5B89><U+793E><U+5340><U+528D><U+9053><U+6559><U+5BA4> https://t.co/ribU89gtrt";FALSE;0;NA;2017-11-09 02:23:30;FALSE;NA;"928447927340666881";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"bzguess";0;FALSE;FALSE;"121.30334";"25.00105"
"34";"<U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A> 3<U+56DE><U+6226> <U+7560><U+4E2D><U+9078><U+624B>(<U+6771><U+4EAC>)<U+932C><U+58EB><U+516D><U+6BB5><U+5BFE><U+4F50><U+85E4><U+9078><U+624B>(<U+5343><U+8449>)<U+56DB><U+6BB5> https://t.co/kAcZ6ifLTG @YouTube<U+3088><U+308A>
#<U+5263><U+9053>
#kendo";FALSE;3;NA;2017-11-09 02:10:25;FALSE;NA;"928444634967056385";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"windfirm";1;FALSE;FALSE;NA;NA
"35";"<U+7B2C>65<U+56DE><U+5168><U+65E5><U+672C><U+5263><U+9053><U+9078><U+624B><U+6A29><U+5927><U+4F1A> 3<U+56DE><U+6226> <U+5C71><U+672C><U+9078><U+624B>(<U+5343><U+8449>)<U+4E94><U+6BB5><U+5BFE><U+897F><U+6751><U+9078><U+624B>(<U+718A><U+672C>)<U+4E94><U+6BB5> https://t.co/9XfvDvQ9Uf @YouTube<U+3088><U+308A>
#<U+5263><U+9053>
#kendo";FALSE;1;NA;2017-11-08 23:11:16;FALSE;NA;"928399550083088384";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"windfirm";0;FALSE;FALSE;NA;NA
"36";"<U+304A><U+306F><U+3088><U+3046><U+3054><U+3056><U+3044><U+307E><U+3059><U+3002><U+4ECA><U+65E5><U+306F><U+6728><U+66DC><U+65E5><U+3002><U+6728><U+66FD><U+5263><U+9053><U+9023><U+76DF><U+5B9A><U+4F8B><U+7A3D><U+53E4><U+4F1A><U+300C><U+6728><U+66DC><U+4F1A><U+300D><U+304C><U+6728><U+66FD><U+753A><U+306E><U+6728><U+66FD><U+753A><U+4E2D><U+5B66><U+6821><U+67D4><U+5263><U+9053><U+5834><U+3067><U+884C><U+308F><U+308C><U+307E><U+3059><U+3002><U+6642><U+9593><U+306F>19<U+6642>30<U+5206><U+3088><U+308A><U+3002><U+53C2><U+52A0><U+5E0C><U+671B><U+306E><U+65B9><U+306F><U+304A><U+6C17><U+8EFD><U+306B><U+304A><U+8D8A><U+3057><U+304F><U+3060><U+3055><U+3044><U+3002>#kendo #kiso";FALSE;0;NA;2017-11-08 23:06:47;FALSE;NA;"928398423551721472";NA;"<a href=""http://twirobo.com/"" rel=""nofollow"">twiroboJP</a>";"kiso_kendo";0;FALSE;FALSE;NA;NA
"37";"RT @ajkendof: <U+7B2C>63<U+56DE><U+5168><U+65E5><U+672C><U+6771><U+897F><U+5BFE><U+6297><U+5263><U+9053><U+5927><U+4F1A> <U+3010><U+7537><U+5B50>16<U+5C06><U+6226>,MEN 16SHO<U+3011>
(<U+5C71><U+5F62>)<U+4E2D><U+539F> <U+6B63><U+53F2> -<U+30E1><U+30E1> <U+53CB><U+5F18> <U+6D69><U+4E8C>(<U+5C71><U+53E3>)
(Yamagata)Masashi NAKAHARA -MM Koji TOMOHIRO(Yamaguchi) #kendo #<U+5263><U+9053>";FALSE;0;NA;2017-11-08 23:03:43;FALSE;NA;"928397649685889024";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"saturindr";4;TRUE;FALSE;NA;NA
"38";"@sparbarboxing @RoyJonesJrFA | #mma #ufc #bellator #karate #kungfu #judo #aikido #jujitsu #kendo… https://t.co/1dWvOxWkQq";FALSE;0;"sparbarboxing";2017-11-08 17:20:04;FALSE;NA;"928311168023789568";"918611958";"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"svnorthg";0;FALSE;FALSE;NA;NA
"39";"https://t.co/zCdQj8Nwg6

#kendo [https://t.co/tItl5tjEAQ]We recap the news from the latest Kendo UI and React webin… https://t.co/EWx53c5lKC";FALSE;0;NA;2017-11-08 14:11:19;TRUE;NA;"928263666876764160";NA;"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>";"kendonews_en";0;FALSE;FALSE;NA;NA
"40";"<U+4ECA><U+591C><U+306E><U+6C34><U+66DC><U+7A3D><U+53E4><U+4F1A>
<U+7DE0><U+3081><U+306F><U+7ACB><U+3061><U+4F1A><U+3044>
@<U+56DB><U+689D><U+7577><U+5E02><U+7ACB><U+7530><U+539F><U+4E2D><U+5B66><U+6821>
#kendo #<U+5263><U+9053> https://t.co/4bB00ko0pB";FALSE;1;NA;2017-11-08 14:11:05;FALSE;NA;"928263611339943937";NA;"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>";"matukuvo";0;FALSE;FALSE;NA;NA
